artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
Emmylou Harris,0.435,0.654,191293,0.376,6.77E-06,0.106,-8.695,1,3,0.0304,123.072,3,0.482,-0.4404,0.012,0.032,0.956
Engelbert Humperdinck,0.5722,0.4091,199791.3,0.4049,0.000363739,0.1665,-11.998,1,4.3,0.03036,107.1917,3.4,0.4228,0.74155,0.1814,0.1037,0.7151
Enigma,0.103833333,0.506666667,287622.3333,0.684666667,0.294,0.286,-12.693,0.666666667,10,0.042166667,96.024,4,0.393333333,0.8497,0.164333333,0.066,0.769666667
Enrique Iglesias,0.098433333,0.62,235284.6667,0.851333333,6.47E-06,0.1201,-3.626333333,0.666666667,5.666666667,0.1059,102.373,4,0.433666667,0.792833333,0.164333333,0.1,0.735666667
Enya,0.848285714,0.403142857,228312.4286,0.252857143,0.483428571,0.112957143,-14.496,1,5.142857143,0.032385714,117.0951429,3.428571429,0.3451,0.706542857,0.107285714,0.034571429,0.858571429
Erasure,0.083756,0.6251,227909.3,0.6928,0.005070478,0.2509,-11.7869,0.8,3,0.03042,116.8826,4,0.6544,0.47154,0.1645,0.1158,0.7196
Eric Clapton,0.253007273,0.653909091,235821.9091,0.537181818,0.022227728,0.346927273,-12.04009091,0.818181818,6.636363636,0.047090909,122.7687273,4,0.660363636,0.428372727,0.132454545,0.067636364,0.799909091
Erik Santos,0.770285714,0.409857143,258309.7143,0.292142857,2.04E-05,0.124757143,-11.25414286,1,8.857142857,0.033842857,130.2884286,4,0.249857143,0.826728571,0.156,0.024857143,0.819142857
Etta James,0.707,0.2945,183753.5,0.3375,0.000303445,0.279,-9.2845,1,6.5,0.03175,139.7575,3,0.4515,0.98785,0.3475,0.0115,0.641
Europe,0.0653,0.512333333,273075.3333,0.689666667,0.00074079,0.156166667,-7.872333333,0.333333333,6.333333333,0.041533333,124.0246667,4,0.233,-0.052933333,0.065,0.096,0.838666667
Eurythmics,0.06405,0.5485,260906.5,0.7495,0.002368,0.303,-6.641,1,2.5,0.0319,101.991,4,0.4905,-0.6476,0.101,0.23,0.669
Evanescence,0.065528907,0.409466667,229944.8667,0.822933333,0.004860177,0.2434,-4.951133333,0.333333333,6.2,0.06682,132.5432667,4,0.33442,-0.196213333,0.107733333,0.119133333,0.772866667
Everclear,0.08107,0.477545455,209492.1818,0.901181818,0.062438305,0.184663636,-5.864363636,1,4.727272727,0.133245455,125.2688182,4,0.509081818,0.042527273,0.126636364,0.120545455,0.752727273
Everlast,0.049690833,0.655916667,253475.5833,0.726333333,0.019898276,0.18685,-5.50525,0.583333333,4.75,0.063825,100.6491667,4,0.483083333,0.010133333,0.161416667,0.136166667,0.7025
Extreme,0.168395,0.52675,256682.5,0.66125,0.0265325,0.10325,-10.09725,1,5.5,0.0462,126.145,4,0.5,0.4456,0.123,0.07725,0.7995
Fabolous,0.228,0.7285,242573,0.5865,0,0.14255,-7.093,0.5,11,0.06715,86.2545,4,0.623,0.9672,0.122,0.0455,0.8325
Face To Face,0.016555,0.406,185326.5,0.9725,5.70E-06,0.2955,-4.993,1,5.5,0.0694,194.6595,4,0.7045,-0.01785,0.1025,0.1005,0.7965
Faces,0.399533333,0.540333333,256631.3333,0.699666667,0.060437133,0.1441,-8.360333333,1,5.333333333,0.0326,104.2563333,4,0.812666667,0.6674,0.125666667,0.074666667,0.799666667
Faith Hill,0.303790909,0.512818182,219899.3636,0.572818182,0,0.131018182,-7.801909091,1,6.272727273,0.032463636,135.8978182,4,0.430818182,0.794318182,0.199,0.034272727,0.767
Faith No More,0.052329294,0.4999375,283383.9375,0.803375,0.0236528,0.171625,-8.0843125,0.4375,5.625,0.065175,126.4373125,4,0.377575,0.37823125,0.1753125,0.097125,0.727625
Falco,0.329,0.593,198987,0.935,0.000323,0.418,-5.112,1,7,0.13,177.816,4,0.923,0.9652,0.106,0.01,0.884
Fall Out Boy,0.026393714,0.540428571,210061,0.925,3.63E-05,0.351142857,-3.237714286,0.285714286,5.428571429,0.099742857,145.4947143,4,0.552714286,0.573285714,0.134714286,0.096,0.769285714
Fastball,0.131157933,0.567333333,194482.4,0.805733333,0.004276687,0.18226,-5.535666667,0.733333333,4,0.03458,132.627,4,0.642333333,-0.137486667,0.081466667,0.103066667,0.815466667
Fatboy Slim,0.01205,0.663,413880,0.9915,0.00292,0.3505,-6.711,1,7,0.2535,152.5965,4,0.07365,0,0,0,1
Fifth Harmony,0.2815,0.803,206566.5,0.6895,3.52E-06,0.0801,-4.192,1,4.5,0.1396,125.1375,4,0.6735,0.99675,0.1835,0.039,0.7775
Fiona Apple,0.636993333,0.5338,253908.4667,0.3782,0.008716507,0.138426667,-11.91966667,0.6,3.666666667,0.048473333,110.9582,3.6,0.357433333,0.454513333,0.152533333,0.0878,0.759466667
Fleetwood Mac,0.20005875,0.64925,232106.625,0.460875,0.02572675,0.207575,-15.924,0.625,5.125,0.031025,125.247375,4,0.767875,0.9870875,0.229,0.0585,0.712625
Flo-Rida,0.015976667,0.739333333,208082.1667,0.846,2.98E-07,0.238666667,-5.1875,0.5,1.833333333,0.055883333,111.8345,4,0.815166667,-0.01075,0.116,0.166,0.718333333
Foo Fighters,0.040567464,0.420727273,245701.8182,0.847454545,0.057103664,0.153872727,-5.467,0.818181818,5.363636364,0.052590909,152.504,4,0.397,0.4554,0.147181818,0.065,0.787727273
Foreigner,0.166581385,0.584846154,225629.6154,0.730076923,0.000572904,0.1869,-7.088076923,0.538461538,5.769230769,0.044961538,130.6023846,4,0.587615385,0.510046154,0.142461538,0.088923077,0.768538462
Frank Zappa,0.1219775,0.65425,219990,0.644,0.01670125,0.3355,-11.14375,0.25,7.25,0.137325,121.70025,2.5,0.7165,0.764175,0.0755,0.0375,0.887
Frankie Goes To Hollywood,0.317623333,0.604444444,231028,0.515877778,0.020545566,0.138122222,-15.59388889,0.555555556,7,0.042277778,118.2974444,4,0.576555556,0.537011111,0.202333333,0.082777778,0.714777778
Frankie Laine,0.858625,0.51525,153633.25,0.345625,1.07E-05,0.23325,-14.58375,0.75,2.875,0.0333375,111.186875,4.125,0.492875,0.279875,0.103375,0.09025,0.806375
Frankie Valli,0.480083333,0.7335,168107.5833,0.592833333,9.06E-07,0.135391667,-8.59425,1,4.666666667,0.06495,117.90775,4,0.790833333,0.519766667,0.15575,0.073,0.77125
Freddie Aguilar,0.600666667,0.565333333,251684.6667,0.476666667,0.000130233,0.167666667,-10.21966667,1,5.666666667,0.030666667,137.3746667,4,0.382666667,0.326766667,0.04,0.004333333,0.955666667
Freddie King,0.42365,0.609333333,246315.3333,0.502833333,0.000363947,0.179316667,-11.06466667,0.666666667,5.166666667,0.0408,130.1796667,3.666666667,0.6685,0.71275,0.178166667,0.087166667,0.735
Free,0.241,0.782,330643,0.476,0.000103,0.17,-12.817,1,2,0.0888,119.992,4,0.813,0.9549,0.123,0.022,0.856
Fun.,0.0679,0.53,277706.5,0.716,0.00018025,0.08735,-6.407,1,2.5,0.06205,126.686,4.5,0.3785,0.0073,0.1015,0.114,0.784
